scenario,county_slug,capex_pv,capex_storage,capex_electric,capex_gas,annual_bill_electric,annual_bill_gas,vehicle_om
full_electric_ev,kings,1693.3847468326148,2165.000678414255,8351.829364810394,0.0,1311.8309391892744,0.0,2161.56
full_electric_ev_coopt,kings,495.55573694934384,0.0,8351.829364810394,0.0,2776.819823136543,0.0,2161.56
baseline_ice_car,lake,589.0033902026487,2165.000678414255,0.0,6026.715128251622,518.3687807450079,1512.3683884923846,5270.226804123711
full_electric_ev,lake,1591.4418523744641,2165.000678414255,9338.345047211407,0.0,1199.0731610745574,0.0,2161.56
full_electric_ev_coopt,lake,359.63187767180955,0.0,9338.345047211407,0.0,2640.192143883139,0.0,2161.56
baseline_ice_car,los-angeles,920.3177971916385,2165.000678414255,0.0,6026.715128251622,633.1792787362199,425.6735987692097,5246.969072164949
full_electric_ev,los-angeles,1582.9466111696183,2165.000678414255,8513.17695759351,0.0,1037.2481479638443,0.0,2161.56
full_electric_ev_coopt,los-angeles,472.90176040308813,0.0,8513.17695759351,0.0,2712.085441091493,0.0,2161.56
baseline_ice_car,madera,900.4955677136649,2165.000678414255,0.0,6026.715128251622,655.1792178657489,1004.2474231373336,5289.525773195876
full_electric_ev,madera,1679.226011491205,2165.000678414255,8444.238010689996,0.0,1288.400660821588,0.0,2161.56
full_electric_ev_coopt,madera,478.5652545396521,0.0,8444.238010689996,0.0,2773.1592699080657,0.0,2161.56
baseline_ice_car,marin,968.4574973524319,2165.000678414255,0.0,6026.715128251622,663.7859894137728,1741.2671445323094,5372.164948453608
full_electric_ev,marin,2092.661083460372,2165.000678414255,9444.779956396562,0.0,1568.4049594081066,0.0,2161.56
full_electric_ev_coopt,marin,549.3589312467012,0.0,9444.779956396562,0.0,3246.273423117369,0.0,2161.56
baseline_ice_car,mendocino,1101.5496095616843,2165.000678414255,0.0,6026.715128251622,723.0542903698615,1626.6923555059936,5415.711340206186
full_electric_ev,mendocino,2214.4262073964965,2165.000678414255,8383.779600598386,0.0,1628.353708496899,0.0,2161.56
full_electric_ev_coopt,mendocino,543.6954371101373,0.0,8383.779600598386,0.0,3350.3170988975817,0.0,2161.56
baseline_ice_car,merced,841.0288792797436,2165.000678414255,0.0,6026.715128251622,631.3686488604716,1276.7803551744505,5238.556701030928
full_electric_ev,merced,1718.8704704471527,2165.000678414255,8102.935930075682,0.0,1338.6225726319544,0.0,2161.56
full_electric_ev_coopt,merced,478.5652545396521,0.0,8102.935930075682,0.0,2825.1477087616795,0.0,2161.56
baseline_ice_car,mono,741.9177318898747,2165.000678414255,0.0,6026.715128251622,560.1983679219019,1062.23316902312,5916.98969072165
full_electric_ev,mono,1676.3942644229232,2165.000678414255,8732.487328648784,0.0,1204.9748924645314,0.0,2161.56
full_electric_ev_coopt,mono,444.5842897202685,0.0,8732.487328648784,0.0,2878.009534250629,0.0,2161.56
baseline_ice_car,monterey,872.1780970308452,2165.000678414255,0.0,6026.715128251622,628.4992295043512,1267.8564425518875,5393.938144329897
full_electric_ev,monterey,1730.1974587202806,2165.000678414255,7889.374405569754,0.0,1284.8482087864202,0.0,2161.56
full_electric_ev_coopt,monterey,566.3494136563929,0.0,7889.374405569754,0.0,2805.728793209017,0.0,2161.56
baseline_ice_car,napa,1008.1019563083795,2165.000678414255,0.0,6026.715128251622,694.0864395726724,1442.9792203423715,5429.072164948454
full_electric_ev,napa,2016.203912616759,2165.000678414255,9048.942885693259,0.0,1505.7626089192495,0.0,2161.56
full_electric_ev_coopt,napa,538.0319429735733,0.0,9048.942885693259,0.0,3118.0793917396923,0.0,2161.56
baseline_ice_car,nevada,1025.0924387180712,2165.000678414255,0.0,6026.715128251622,707.5518972583702,3129.401478937797,5543.381443298969
