system_to_load_kWh,batt_to_load_kWh,grid_to_load_kWh,grid_to_batt_kWh,system_to_batt_AC_kWh,system_to_batt_DC_kWh,system_to_grid_kWh,battery_soc_pct
1.6087125765539338,0.0,8.391287423446066,0.0,0.0,0.0,0.0,15.0
2.1149604464823692,0.0,7.885039553517631,0.0,1.1691845258049443,1.1224171447727465,0.0,23.4773202334317
2.1149604466434986,0.0,7.885039553356501,0.0,2.211619083382017,2.123154320046736,0.0,38.90116792961699
2.11496044668672,0.0,7.88503955331328,0.0,2.8238618428856115,2.710907369170187,0.0,58.218216051705966
2.1149602941615595,0.0,7.885039705838441,0.0,1.8764727610927667,1.801413850649056,0.0,71.02059067535717
0.8310158324003533,1.2839446142885436,7.885039553311103,0.0,0.0,0.0,0.0,61.352872993251964
1.6781104366341137,0.43685000512056393,7.885039558245322,0.0,0.0,0.0,0.0,58.069114725229774
2.114959344360323,0.0,7.885040655639677,0.0,1.2015777290003966,1.1535146198403807,0.0,66.30442852858002
1.725252704202888,0.38970767198868417,7.885039623808429,0.0,0.0,0.0,0.0,63.38416645832502
0.0,2.1149604466834915,7.885039553316508,0.0,0.0,0.0,0.0,47.24185290499389
0.0,2.1149604464937575,7.8850395535062425,0.0,0.0,0.0,0.0,30.71060923981812
0.0,1.867346461115086,8.132653538884913,0.0,0.0,0.0,0.0,15.000000000000002
