,Load Profile,System to Load,Battery to Load,Grid to Load,Solar + Battery to Load,Total Supply,Difference,System to Battery,Grid to Battery,Battery SOC,hour,month,day_of_year,season,tou_period,soc_bin,electricity_rate,grid_cost,battery_wear_cost
2018-08-23 00:00:00,0.6303588932289744,0.0,0.2727682294232827,0.3575906638056916,0.2727682294232827,0.6303588932289744,0.0,0.0,0.0,76.30963645803257,0,8,235,Summer,Off-Peak,60-80%,0.27,0.09654947922753673,0.0504621224433073
2018-08-23 01:00:00,0.4895776389982227,0.0,0.1319869751976826,0.3575906638005401,0.1319869751976826,0.4895776389982227,0.0,0.0,0.0,75.31624356647374,1,8,235,Summer,Off-Peak,60-80%,0.27,0.09654947922614583,0.02441759041157128
2018-08-23 02:00:00,0.4279568438812237,0.0,0.0703661800846362,0.3575906637965874,0.0703661800846362,0.4279568438812237,0.0,0.0,0.0,74.78666236176423,2,8,235,Summer,Off-Peak,60-80%,0.27,0.0965494792250786,0.013017743315657698
2018-08-23 03:00:00,0.4383741549470637,0.0,0.0807834911468675,0.3575906638001961,0.0807834911468675,0.4383741549470637,0.0,0.0,0.0,74.17850973057344,3,8,235,Summer,Off-Peak,60-80%,0.27,0.09654947922605296,0.014944945862170487
2018-08-23 04:00:00,0.4186854457607596,0.0,0.061094781963887,0.3575906637968726,0.061094781963887,0.4186854457607596,0.0,0.0,0.0,73.7185316787748,4,8,235,Summer,Off-Peak,60-80%,0.27,0.09654947922515561,0.011302534663319095
2018-08-23 05:00:00,0.409060191203739,0.0,0.0514695274068809,0.357590663796858,0.0514695274068809,0.409060191203739,0.0,0.0,0.0,73.33097762261495,5,8,235,Summer,Off-Peak,60-80%,0.27,0.09654947922515167,0.009521862570272967
2018-08-23 06:00:00,0.4217010535045535,0.0641103897076957,0.0,0.3575906637968578,0.0641103897076957,0.4217010535045535,0.0,0.0177742498342571,0.0,73.45428051408828,6,8,235,Summer,Off-Peak,60-80%,0.27,0.0965494792251516,0.0
2018-08-23 07:00:00,0.4519509288173341,0.0943602213602299,0.0,0.3575907074571042,0.0943602213602299,0.4519509288173341,0.0,0.6424214676552339,0.0,77.89279364982245,7,8,235,Summer,Mid-Peak,60-80%,0.37,0.13230856175912856,0.0
2018-08-23 08:00:00,0.5078198923593003,0.1502284221159389,0.0,0.3575914702433613,0.1502284221159389,0.5078198923593003,0.0,1.4107581072165356,0.0,87.57285312566442,8,8,235,Summer,Mid-Peak,80-100%,0.37,0.13230884399004367,0.0
2018-08-23 09:00:00,0.5692457895815188,0.5692457895815188,0.0,0.0,0.5692457895815188,0.5692457895815188,0.0,1.0870710847578893,0.0,95.0000021773006,9,8,235,Summer,Mid-Peak,80-100%,0.37,0.0,0.0
2018-08-23 10:00:00,0.6315271284060714,0.6315271284060714,0.0,0.0,0.6315271284060714,0.6315271284060714,0.0,0.0,0.0,95.0000021773006,10,8,235,Summer,Mid-Peak,80-100%,0.37,0.0,0.0
2018-08-23 11:00:00,0.6673748496989821,0.6673748496989821,0.0,0.0,0.6673748496989821,0.6673748496989821,0.0,0.0,0.0,95.0000021773006,11,8,235,Summer,Mid-Peak,80-100%,0.37,0.0,0.0
2018-08-23 12:00:00,0.6895276286849544,0.6895276286849544,0.0,0.0,0.6895276286849544,0.6895276286849544,0.0,0.0,0.0,95.0000021773006,12,8,235,Summer,Mid-Peak,80-100%,0.37,0.0,0.0
2018-08-23 13:00:00,0.6431286944644675,0.6431286944644675,0.0,0.0,0.6431286944644675,0.6431286944644675,0.0,0.0,0.0,95.0000021773006,13,8,235,Summer,Mid-Peak,80-100%,0.37,0.0,0.0
2018-08-23 14:00:00,0.6401380250349715,0.6401380250349715,0.0,0.0,0.6401380250349715,0.6401380250349715,0.0,0.0,0.0,95.0000021773006,14,8,235,Summer,Mid-Peak,80-100%,0.37,0.0,0.0
2018-08-23 15:00:00,0.6167149614260192,0.6167149614260192,0.0,0.0,0.6167149614260192,0.6167149614260192,0.0,0.0,0.0,95.0000021773006,15,8,235,Summer,Mid-Peak,80-100%,0.37,0.0,0.0
2018-08-23 16:00:00,0.5933991440832206,0.5933991440832206,0.0,0.0,0.5933991440832206,0.5933991440832206,0.0,0.0,0.0,95.0000021773006,16,8,235,Summer,Peak,80-100%,0.47,0.0,0.0
